ORIGINAL	CONTEXT	TRANSLATED

top of an auto bus.	Having found that “subjective and objective, sir,” answered most of the questions, he used the phrase on all occasions, and it became the class joke when, on a query being levelled at him, he was nudged awake by Ferrenby or Sloane to gasp it out. Mostly there were parties—to Orange or the Shore, more rarely to New York and Philadelphia, though one night they marshalled fourteen waitresses out of Childs’ and took them to ride down Fifth Avenue on top of an auto bus. They all cut more classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings.	the top of a bus.

their colorful ramblings	Mostly there were parties—to Orange or the Shore, more rarely to New York and Philadelphia, though one night they marshalled fourteen waitresses out of Childs’ and took them to ride down Fifth Avenue on top of an auto bus. They all cut more classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings. In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest.	their fun adventures

classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings.	Mostly there were parties—to Orange or the Shore, more rarely to New York and Philadelphia, though one night they marshalled fourteen waitresses out of Childs’ and took them to ride down Fifth Avenue on top of an auto bus. They all cut more classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings. In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest.	They skipped more classes than they should have, meaning they'd have to take an extra course next year, but they didn't want anything to stop their fun adventures during the beautiful spring.

the Sophomore Prom Committee	They all cut more classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings. In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption.	The committee for the sophomore dance

a tentative list	They all cut more classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings. In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption.	a possible list

a long evening’s discussion	They all cut more classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings. In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption.	a long evening of talking

elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest.	They all cut more classes than were allowed, which meant an additional course the following year, but spring was too rare to let anything interfere with their colorful ramblings. In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption.	He got on the Sophomore Prom Committee, and after talking with Alec all night, they guessed who was likely to be on the senior council and thought they were almost certain to be chosen.

Princetonian chairman	In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption. Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at.	chairman of the Daily Princetonian newspaper

Alec’s football managership	In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption. Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at.	Alec being the football manager

Amory’s chance	In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption. Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at.	Amory's possibility

the eighteen most representative seniors	In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption. Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at.	the eighteen seniors who best represented the class

justified in this presumption.	In May Amory was elected to the Sophomore Prom Committee, and when after a long evening’s discussion with Alec they made out a tentative list of class probabilities for the senior council, they placed themselves among the surest. The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption. Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at.	right to assume this.

they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at.	The senior council was composed presumably of the eighteen most representative seniors, and in view of Alec’s football managership and Amory’s chance of nosing out Burne Holiday as Princetonian chairman, they seemed fairly justified in this presumption. Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at. All through the spring Amory had kept up an intermittent correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love.	They thought D'Invilliers might be on the council, which would have shocked everyone a year ago.

correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love.	Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at. All through the spring Amory had kept up an intermittent correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love. He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club.	writing to Isabelle Borgé, which included fierce arguments and was mostly made interesting by his efforts to describe love in new ways.

an intermittent correspondence	Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at. All through the spring Amory had kept up an intermittent correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love. He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club.	occasional letters

violent squabbles	Oddly enough, they both placed D’Invilliers as among the possibilities, a guess that a year before the class would have gaped at. All through the spring Amory had kept up an intermittent correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love. He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club.	fierce arguments

hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club.	All through the spring Amory had kept up an intermittent correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love. He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club. During May he wrote thirty-page documents almost nightly, and sent them to her in bulky envelopes exteriorly labelled “Part I” and “Part II.”	hope that she would fit into his life during the spring as well as she had in the small room at the Minnehaha Club.

the Minnehaha Club	All through the spring Amory had kept up an intermittent correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love. He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club. During May he wrote thirty-page documents almost nightly, and sent them to her in bulky envelopes exteriorly labelled “Part I” and “Part II.”	the Minnehaha Club

not too exotic a bloom	All through the spring Amory had kept up an intermittent correspondence with Isabelle Borgé, punctuated by violent squabbles and chiefly enlivened by his attempts to find new words for love. He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club. During May he wrote thirty-page documents almost nightly, and sent them to her in bulky envelopes exteriorly labelled “Part I” and “Part II.”	not too unusual or strange

bulky envelopes	He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club. During May he wrote thirty-page documents almost nightly, and sent them to her in bulky envelopes exteriorly labelled “Part I” and “Part II.” “Oh, Alec, I believe I’m tired of college,” he said sadly, as they walked the dusk together.	large envelopes

wrote thirty-page documents almost nightly, and sent them to her in bulky envelopes exteriorly labelled “Part I” and “Part II.”	He discovered Isabelle to be discreetly and aggravatingly unsentimental in letters, but he hoped against hope that she would prove not too exotic a bloom to fit the large spaces of spring as she had fitted the den in the Minnehaha Club. During May he wrote thirty-page documents almost nightly, and sent them to her in bulky envelopes exteriorly labelled “Part I” and “Part II.” “Oh, Alec, I believe I’m tired of college,” he said sadly, as they walked the dusk together.	wrote long letters almost every night, sending them to her in thick envelopes labeled "Part I" and "Part II."

walked the dusk together.	During May he wrote thirty-page documents almost nightly, and sent them to her in bulky envelopes exteriorly labelled “Part I” and “Part II.” “Oh, Alec, I believe I’m tired of college,” he said sadly, as they walked the dusk together. “I think I am, too, in a way.”	walked together at dusk.

home in the country, some warm country, and a wife, and just enough to do to keep from rotting.”	“I think I am, too, in a way.” “All I’d like would be a little home in the country, some warm country, and a wife, and just enough to do to keep from rotting.” “Me, too.”	A house in the warm countryside, a wife, and just enough work to stay active.

gasped in horror.	“Oh!” Amory gasped in horror. “She wouldn’t think of marrying.	gasped in horror.

think of marrying.	Amory gasped in horror. “She wouldn’t think of marrying. that is, not now.	think about getting married.

forthcoming as it used to be.”	But marry—not a chance. Especially as father says the money isn’t forthcoming as it used to be.” “What a waste these nights are!” agreed Alec.	coming as easily as it used to.

picture before him, write her rapturous letters.	But Amory sighed and made use of the nights. He had a snapshot of Isabelle, enshrined in an old watch, and at eight almost every night he would turn off all the lights except the desk lamp and, sitting by the open windows with the picture before him, write her rapturous letters. Oh it’s so hard to write you what I really feel when I think about you so much; you’ve gotten to mean to me a dream that I can’t put on paper any more.	write her passionate letters.

her rapturous letters	But Amory sighed and made use of the nights. He had a snapshot of Isabelle, enshrined in an old watch, and at eight almost every night he would turn off all the lights except the desk lamp and, sitting by the open windows with the picture before him, write her rapturous letters. Oh it’s so hard to write you what I really feel when I think about you so much; you’ve gotten to mean to me a dream that I can’t put on paper any more.	passionate letters

put on paper any more.	He had a snapshot of Isabelle, enshrined in an old watch, and at eight almost every night he would turn off all the lights except the desk lamp and, sitting by the open windows with the picture before him, write her rapturous letters. Oh it’s so hard to write you what I really feel when I think about you so much; you’ve gotten to mean to me a dream that I can’t put on paper any more. Your last letter came and it was wonderful!	fully express in writing anymore.

read it over about six times, especially the last part, but I do wish, sometimes, you’d be more frank and tell me what you really do think of me, yet your last letter was too good to be true, and I can hardly wait until June!	Your last letter came and it was wonderful! I read it over about six times, especially the last part, but I do wish, sometimes, you’d be more frank and tell me what you really do think of me, yet your last letter was too good to be true, and I can hardly wait until June! Be sure and be able to come to the prom.	I read it about six times, especially the end, but I still wish you'd be more open and tell me what you really think of me. Your last letter seemed too good to be true, and I can't wait for June!

come to the prom.	I read it over about six times, especially the last part, but I do wish, sometimes, you’d be more frank and tell me what you really do think of me, yet your last letter was too good to be true, and I can hardly wait until June! Be sure and be able to come to the prom. It’ll be fine, I think, and I want to bring you just at the end of a wonderful year.	Come to the prom.

end of a wonderful year.	Be sure and be able to come to the prom. It’ll be fine, I think, and I want to bring you just at the end of a wonderful year. I often think over what you said on that night and wonder how much you meant.	end of a great year.

said on that night and wonder how much you meant.	It’ll be fine, I think, and I want to bring you just at the end of a wonderful year. I often think over what you said on that night and wonder how much you meant. If it were anyone but you—but you see I thought you were fickle the first time I saw you and you are so popular and everthing that I can’t imagine you really liking me best.	said that night and wonder how serious you were.

imagine you really liking me best.	I often think over what you said on that night and wonder how much you meant. If it were anyone but you—but you see I thought you were fickle the first time I saw you and you are so popular and everthing that I can’t imagine you really liking me best. Oh, Isabelle, dear—it’s a wonderful night.	imagine you really liking me more than anyone else.

playing “Love Moon” on a mandolin far across the campus, and the music seems to bring you into the window.	Oh, Isabelle, dear—it’s a wonderful night. Somebody is playing “Love Moon” on a mandolin far across the campus, and the music seems to bring you into the window. Now he’s playing “Goodbye, Boys, I’m Through,” and how well it suits me.	playing "Love Moon" on a mandolin way over on the other side of campus, and the music makes me feel like you're right here with me.

Goodbye, Boys, I’m Through,” and how well it suits me.	Somebody is playing “Love Moon” on a mandolin far across the campus, and the music seems to bring you into the window. Now he’s playing “Goodbye, Boys, I’m Through,” and how well it suits me. For I am through with everything.	Goodbye, Boys, I'm Through," and it really fits how I feel.

part of my days and nights to ever let me think of another girl.	For I am through with everything. I have decided never to take a cocktail again, and I know I’ll never again fall in love—I couldn’t—you’ve been too much a part of my days and nights to ever let me think of another girl. I meet them all the time and they don’t interest me.	You're too much a part of my life for me to ever think about another girl.

pretending to be blasé, because it’s not that.	I meet them all the time and they don’t interest me. I’m not pretending to be blasé, because it’s not that. It’s just that I’m in love.	faking indifference, because that's not it.

just Isabelle	It’s just that I’m in love. Oh, dearest Isabelle (somehow I can’t call you just Isabelle, and I’m afraid I’ll come out with the “dearest” before your family this June), you’ve got to come to the prom, and then I’ll come up to your house for a day and everything’ll be perfect. And so on in an eternal monotone that seemed to both of them infinitely charming, infinitely new.	Isabelle

come up to your house for a day and everything’ll be perfect.	It’s just that I’m in love. Oh, dearest Isabelle (somehow I can’t call you just Isabelle, and I’m afraid I’ll come out with the “dearest” before your family this June), you’ve got to come to the prom, and then I’ll come up to your house for a day and everything’ll be perfect. And so on in an eternal monotone that seemed to both of them infinitely charming, infinitely new.	visit you at your house for a day, and everything will be perfect.

an eternal monotone	Oh, dearest Isabelle (somehow I can’t call you just Isabelle, and I’m afraid I’ll come out with the “dearest” before your family this June), you’ve got to come to the prom, and then I’ll come up to your house for a day and everything’ll be perfect. And so on in an eternal monotone that seemed to both of them infinitely charming, infinitely new.	endless repetition

both of them infinitely charming, infinitely new.	Oh, dearest Isabelle (somehow I can’t call you just Isabelle, and I’m afraid I’ll come out with the “dearest” before your family this June), you’ve got to come to the prom, and then I’ll come up to your house for a day and everything’ll be perfect. And so on in an eternal monotone that seemed to both of them infinitely charming, infinitely new.	They both found it endlessly delightful and fresh.

dreamy evenings	June came and the days grew so hot and lazy that they could not worry even about exams, but spent dreamy evenings on the court of Cottage, talking of long subjects until the sweep of country toward Stony Brook became a blue haze and the lilacs were white around tennis-courts, and words gave way to silent cigarettes. Then down deserted Prospect and along McCosh with song everywhere around them, up to the hot joviality of Nassau Street.	relaxed and pleasant evenings

gave way to silent cigarettes.	June came and the days grew so hot and lazy that they could not worry even about exams, but spent dreamy evenings on the court of Cottage, talking of long subjects until the sweep of country toward Stony Brook became a blue haze and the lilacs were white around tennis-courts, and words gave way to silent cigarettes. Then down deserted Prospect and along McCosh with song everywhere around them, up to the hot joviality of Nassau Street.	were replaced by quiet smoking.

a blue haze	June came and the days grew so hot and lazy that they could not worry even about exams, but spent dreamy evenings on the court of Cottage, talking of long subjects until the sweep of country toward Stony Brook became a blue haze and the lilacs were white around tennis-courts, and words gave way to silent cigarettes. Then down deserted Prospect and along McCosh with song everywhere around them, up to the hot joviality of Nassau Street.	a hazy blue

the hot joviality	June came and the days grew so hot and lazy that they could not worry even about exams, but spent dreamy evenings on the court of Cottage, talking of long subjects until the sweep of country toward Stony Brook became a blue haze and the lilacs were white around tennis-courts, and words gave way to silent cigarettes. Then down deserted Prospect and along McCosh with song everywhere around them, up to the hot joviality of Nassau Street. Tom D’Invilliers and Amory walked late in those days.	the lively heat

up to the hot joviality of Nassau Street.	June came and the days grew so hot and lazy that they could not worry even about exams, but spent dreamy evenings on the court of Cottage, talking of long subjects until the sweep of country toward Stony Brook became a blue haze and the lilacs were white around tennis-courts, and words gave way to silent cigarettes. Then down deserted Prospect and along McCosh with song everywhere around them, up to the hot joviality of Nassau Street. Tom D’Invilliers and Amory walked late in those days.	to the lively and bustling atmosphere of Nassau Street.

Tom D’Invilliers	Then down deserted Prospect and along McCosh with song everywhere around them, up to the hot joviality of Nassau Street. Tom D’Invilliers and Amory walked late in those days. A gambling fever swept through the sophomore class and they bent over the bones till three o’clock many a sultry night.	Tom D'Invilliers

three o’clock	Tom D’Invilliers and Amory walked late in those days. A gambling fever swept through the sophomore class and they bent over the bones till three o’clock many a sultry night. After one session they came out of Sloane’s room to find the dew fallen and the stars old in the sky.	3 AM

the sophomore class	Tom D’Invilliers and Amory walked late in those days. A gambling fever swept through the sophomore class and they bent over the bones till three o’clock many a sultry night. After one session they came out of Sloane’s room to find the dew fallen and the stars old in the sky.	the second-year students

swept through the sophomore class and they bent over the bones till three o’clock many a sultry night.	Tom D’Invilliers and Amory walked late in those days. A gambling fever swept through the sophomore class and they bent over the bones till three o’clock many a sultry night. After one session they came out of Sloane’s room to find the dew fallen and the stars old in the sky.	spread through the sophomore class and they played dice until three o'clock on many hot nights.

came out of Sloane’s room to find the dew fallen and the stars old in the sky.	A gambling fever swept through the sophomore class and they bent over the bones till three o’clock many a sultry night. After one session they came out of Sloane’s room to find the dew fallen and the stars old in the sky. “Let’s borrow bicycles and take a ride,” Amory suggested.	left Sloane's room and saw the dew had settled and the stars were fading in the sky.

Sloane’s room	A gambling fever swept through the sophomore class and they bent over the bones till three o’clock many a sultry night. After one session they came out of Sloane’s room to find the dew fallen and the stars old in the sky. “Let’s borrow bicycles and take a ride,” Amory suggested.	Sloane's room

the prom stuff	“All right. I’m not a bit tired and this is almost the last night of the year, really, because the prom stuff starts Monday.” They found two unlocked bicycles in Holder Court and rode out about half-past three along the Lawrenceville Road.	prom activities

the Lawrenceville Road	I’m not a bit tired and this is almost the last night of the year, really, because the prom stuff starts Monday.” They found two unlocked bicycles in Holder Court and rode out about half-past three along the Lawrenceville Road. “What are you going to do this summer, Amory?” “Don’t ask me—same old things, I suppose.	Lawrenceville Road

three along the Lawrenceville Road.	I’m not a bit tired and this is almost the last night of the year, really, because the prom stuff starts Monday.” They found two unlocked bicycles in Holder Court and rode out about half-past three along the Lawrenceville Road. “What are you going to do this summer, Amory?” “Don’t ask me—same old things, I suppose.	three on Lawrenceville Road.

be there in July, you know—then there’ll be Minneapolis, and that means hundreds of summer hops, parlor-snaking, getting bored—	“What are you going to do this summer, Amory?” “Don’t ask me—same old things, I suppose. A month or two in Lake Geneva—I’m counting on you to be there in July, you know—then there’ll be Minneapolis, and that means hundreds of summer hops, parlor-snaking, getting bored— But oh, Tom,” he added suddenly, “hasn’t this year been slick!”	be there in July, okay? Then I'll be in Minneapolis, which means tons of summer dances, flirting at parties, and getting bored.

I’m counting	“What are you going to do this summer, Amory?” “Don’t ask me—same old things, I suppose. A month or two in Lake Geneva—I’m counting on you to be there in July, you know—then there’ll be Minneapolis, and that means hundreds of summer hops, parlor-snaking, getting bored— But oh, Tom,” he added suddenly, “hasn’t this year been slick!”	I'm expecting

feel as if I never want to play another.	But oh, Tom,” he added suddenly, “hasn’t this year been slick!” “No,” declared Tom emphatically, a new Tom, clothed by Brooks, shod by Franks, “I’ve won this game, but I feel as if I never want to play another. You’re all right—you’re a rubber ball, and somehow it suits you, but I’m sick of adapting myself to the local snobbishness of this corner of the world.	I don't ever want to play this game again.

the local snobbishness	“No,” declared Tom emphatically, a new Tom, clothed by Brooks, shod by Franks, “I’ve won this game, but I feel as if I never want to play another. You’re all right—you’re a rubber ball, and somehow it suits you, but I’m sick of adapting myself to the local snobbishness of this corner of the world. I want to go where people aren’t barred because of the color of their neckties and the roll of their coats.”	the snobbery around here

go where people aren’t barred because of the color of their neckties and the roll of their coats.”	You’re all right—you’re a rubber ball, and somehow it suits you, but I’m sick of adapting myself to the local snobbishness of this corner of the world. I want to go where people aren’t barred because of the color of their neckties and the roll of their coats.” “You can’t, Tom,” argued Amory, as they rolled along through the scattering night; “wherever you go now you’ll always unconsciously apply these standards of ‘having it’ or ‘lacking it.’	go where people aren't judged by their appearance and wealth.

the scattering night	I want to go where people aren’t barred because of the color of their neckties and the roll of their coats.” “You can’t, Tom,” argued Amory, as they rolled along through the scattering night; “wherever you go now you’ll always unconsciously apply these standards of ‘having it’ or ‘lacking it.’ For better or worse we’ve stamped you; you’re a Princeton type!”	the fading night

rolled along through the scattering night; “wherever you go now you’ll always unconsciously apply these standards of ‘having it’ or ‘lacking it.’	I want to go where people aren’t barred because of the color of their neckties and the roll of their coats.” “You can’t, Tom,” argued Amory, as they rolled along through the scattering night; “wherever you go now you’ll always unconsciously apply these standards of ‘having it’ or ‘lacking it.’ For better or worse we’ve stamped you; you’re a Princeton type!”	drove through the fading night; "everywhere you go, you'll always unconsciously judge people by whether they 'have it' or 'lack it.'"

stamped you; you’re a Princeton type!”	“You can’t, Tom,” argued Amory, as they rolled along through the scattering night; “wherever you go now you’ll always unconsciously apply these standards of ‘having it’ or ‘lacking it.’ For better or worse we’ve stamped you; you’re a Princeton type!” “Well, then,” complained Tom, his cracked voice rising plaintively, “why do I have to come back at all?	marked you; you're a Princeton type!

mere pedantry	I’ve learned all that Princeton has to offer. Two years more of mere pedantry and lying around a club aren’t going to help. They’re just going to disorganize me, conventionalize me completely.	just nitpicking

lying around a club aren’t going to help.	I’ve learned all that Princeton has to offer. Two years more of mere pedantry and lying around a club aren’t going to help. They’re just going to disorganize me, conventionalize me completely.	hanging out at a club won't help.

opened to the snobbishness of the world in a rather abrupt manner.	“Oh, but you’re missing the real point, Tom,” Amory interrupted. “You’ve just had your eyes opened to the snobbishness of the world in a rather abrupt manner. Princeton invariably gives the thoughtful man a social sense.”	suddenly realized how snobby the world can be.

a rather abrupt manner	“Oh, but you’re missing the real point, Tom,” Amory interrupted. “You’ve just had your eyes opened to the snobbishness of the world in a rather abrupt manner. Princeton invariably gives the thoughtful man a social sense.”	kind of suddenly

the thoughtful man	“You’ve just had your eyes opened to the snobbishness of the world in a rather abrupt manner. Princeton invariably gives the thoughtful man a social sense.” “You consider you taught me that, don’t you?”	someone who thinks deeply

eying Amory in the half dark.	“You consider you taught me that, don’t you?” he asked quizzically, eying Amory in the half dark. Amory laughed quietly.	looking at Amory in the dim light.

’s rather hard.	I might have been a pretty fair poet.” “Come on, that’s rather hard. You chose to come to an Eastern college.	That's pretty tough.

the mean scrambling quality	You chose to come to an Eastern college. Either your eyes were opened to the mean scrambling quality of people, or you’d have gone through blind, and you’d hate to have done that—been like Marty Kaye.” “Yes,” he agreed, “you’re right.	the unpleasant, competitive nature

gone through blind, and you’d hate to have done that—been like Marty Kaye.”	You chose to come to an Eastern college. Either your eyes were opened to the mean scrambling quality of people, or you’d have gone through blind, and you’d hate to have done that—been like Marty Kaye.” “Yes,” he agreed, “you’re right.	gone through life without seeing things clearly, and you'd hate to have been like that—like Marty Kaye.

made a cynic at twenty.”	I wouldn’t have liked it. Still, it’s hard to be made a cynic at twenty.” “I was born one,” Amory murmured.	turned into a cynic at twenty.

a cynical idealist	“I was born one,” Amory murmured. “I’m a cynical idealist.” He paused and wondered if that meant anything.	a cynical idealist

school of Lawrenceville, and turned to ride back.	He paused and wondered if that meant anything. They reached the sleeping school of Lawrenceville, and turned to ride back. “It’s good, this ride, isn’t it?”	Lawrenceville school, and turned around to ride back.

a hot, languorous summer	“Yes; it’s a good finish, it’s knockout; everything’s good tonight. Oh, for a hot, languorous summer and Isabelle!” “Oh, you and your Isabelle!	a hot, lazy summer

said Amory as he finished.	So Amory declaimed “The Ode to a Nightingale” to the bushes they passed. “I’ll never be a poet,” said Amory as he finished. “I’m not enough of a sensualist really; there are only a few obvious things that I notice as primarily beautiful: women, spring evenings, music at night, the sea; I don’t catch the subtle things like ‘silver-snarling trumpets.’	Amory said as he finished.

only a few obvious things	“I’ll never be a poet,” said Amory as he finished. “I’m not enough of a sensualist really; there are only a few obvious things that I notice as primarily beautiful: women, spring evenings, music at night, the sea; I don’t catch the subtle things like ‘silver-snarling trumpets.’ I may turn out an intellectual, but I’ll never write anything but mediocre poetry.”	just the most obvious things

music at night, the sea; I don’t catch the subtle things like ‘silver-snarling trumpets.’	“I’ll never be a poet,” said Amory as he finished. “I’m not enough of a sensualist really; there are only a few obvious things that I notice as primarily beautiful: women, spring evenings, music at night, the sea; I don’t catch the subtle things like ‘silver-snarling trumpets.’ I may turn out an intellectual, but I’ll never write anything but mediocre poetry.”	music at night, the sea; I don't notice the finer details, like 'silver-snarling trumpets.'

‘silver-snarling trumpets	“I’ll never be a poet,” said Amory as he finished. “I’m not enough of a sensualist really; there are only a few obvious things that I notice as primarily beautiful: women, spring evenings, music at night, the sea; I don’t catch the subtle things like ‘silver-snarling trumpets.’ I may turn out an intellectual, but I’ll never write anything but mediocre poetry.”	trumpets that sound sharp and bright

anything but mediocre poetry.”	“I’m not enough of a sensualist really; there are only a few obvious things that I notice as primarily beautiful: women, spring evenings, music at night, the sea; I don’t catch the subtle things like ‘silver-snarling trumpets.’ I may turn out an intellectual, but I’ll never write anything but mediocre poetry.” They rode into Princeton as the sun was making colored maps of the sky behind the graduate school, and hurried to the refreshment of a shower that would have to serve in place of sleep.	only average poetry.

mediocre poetry	“I’m not enough of a sensualist really; there are only a few obvious things that I notice as primarily beautiful: women, spring evenings, music at night, the sea; I don’t catch the subtle things like ‘silver-snarling trumpets.’ I may turn out an intellectual, but I’ll never write anything but mediocre poetry.” They rode into Princeton as the sun was making colored maps of the sky behind the graduate school, and hurried to the refreshment of a shower that would have to serve in place of sleep.	average poetry

serve in place of sleep.	I may turn out an intellectual, but I’ll never write anything but mediocre poetry.” They rode into Princeton as the sun was making colored maps of the sky behind the graduate school, and hurried to the refreshment of a shower that would have to serve in place of sleep. By noon the bright-costumed alumni crowded the streets with their bands and choruses, and in the tents there was great reunion under the orange-and-black banners that curled and strained in the wind.	act as a substitute for sleep.

banners that curled and strained in the wind.	They rode into Princeton as the sun was making colored maps of the sky behind the graduate school, and hurried to the refreshment of a shower that would have to serve in place of sleep. By noon the bright-costumed alumni crowded the streets with their bands and choruses, and in the tents there was great reunion under the orange-and-black banners that curled and strained in the wind. Amory looked long at one house which bore the legend “Sixty-nine.”	banners that twisted and pulled in the wind.

the bright-costumed alumni	They rode into Princeton as the sun was making colored maps of the sky behind the graduate school, and hurried to the refreshment of a shower that would have to serve in place of sleep. By noon the bright-costumed alumni crowded the streets with their bands and choruses, and in the tents there was great reunion under the orange-and-black banners that curled and strained in the wind. Amory looked long at one house which bore the legend “Sixty-nine.”	alumni in colorful outfits

legend “Sixty-nine.”	By noon the bright-costumed alumni crowded the streets with their bands and choruses, and in the tents there was great reunion under the orange-and-black banners that curled and strained in the wind. Amory looked long at one house which bore the legend “Sixty-nine.” There a few gray-haired men sat and talked quietly while the classes swept by in panorama of life.	sign "Sixty-nine."

