sub_sentence	context	target_sentence
a strange goodness	They were unutterably terrible. He must have said something, or looked something, for Axia’s voice came out of the void with a strange goodness. “Well, look at Amory!	He must have said something, or looked something, for Axia’s voice came out of the void with a strange goodness.
Axia’s voice	They were unutterably terrible. He must have said something, or looked something, for Axia’s voice came out of the void with a strange goodness. “Well, look at Amory!	He must have said something, or looked something, for Axia’s voice came out of the void with a strange goodness.
out of the void with a strange goodness.	They were unutterably terrible. He must have said something, or looked something, for Axia’s voice came out of the void with a strange goodness. “Well, look at Amory!	He must have said something, or looked something, for Axia’s voice came out of the void with a strange goodness.
look at Amory!	He must have said something, or looked something, for Axia’s voice came out of the void with a strange goodness. “Well, look at Amory! Poor old Amory’s sick—old head going ’round?”	“Well, look at Amory!
Poor old Amory’s sick—old head	“Well, look at Amory! Poor old Amory’s sick—old head going ’round?” “Look at that man!”	Poor old Amory’s sick—old head going ’round?”
pointing toward the corner divan.	“Look at that man!” cried Amory, pointing toward the corner divan. “You mean that purple zebra!” shrieked Axia facetiously.	cried Amory, pointing toward the corner divan.
the corner divan	“Look at that man!” cried Amory, pointing toward the corner divan. “You mean that purple zebra!” shrieked Axia facetiously.	cried Amory, pointing toward the corner divan.
that purple zebra	cried Amory, pointing toward the corner divan. “You mean that purple zebra!” shrieked Axia facetiously. “Ooo-ee!	“You mean that purple zebra!” shrieked Axia facetiously.
zebra watching him!”	“Ooo-ee! Amory’s got a purple zebra watching him!” Sloane laughed vacantly.	Amory’s got a purple zebra watching him!”
a purple zebra	“Ooo-ee! Amory’s got a purple zebra watching him!” Sloane laughed vacantly.	Amory’s got a purple zebra watching him!”
“Ole zebra gotcha	Sloane laughed vacantly. “Ole zebra gotcha, Amory?” There was a silence.	“Ole zebra gotcha, Amory?”
the whole divan	The man regarded Amory quizzically. Then the human voices fell faintly on his ear: “Thought you weren’t drinking,” remarked Axia sardonically, but her voice was good to hear; the whole divan that held the man was alive; alive like heat waves over asphalt, like wriggling worms. “Come back!	Then the human voices fell faintly on his ear: “Thought you weren’t drinking,” remarked Axia sardonically, but her voice was good to hear; the whole divan that held the man was alive; alive like heat waves over asphalt, like wriggling worms.
fell faintly on his ear: “Thought you weren’t drinking,” remarked Axia sardonically, but her voice was good to hear; the whole divan that held the man was alive; alive like heat waves over asphalt, like wriggling worms.	The man regarded Amory quizzically. Then the human voices fell faintly on his ear: “Thought you weren’t drinking,” remarked Axia sardonically, but her voice was good to hear; the whole divan that held the man was alive; alive like heat waves over asphalt, like wriggling worms. “Come back!	Then the human voices fell faintly on his ear: “Thought you weren’t drinking,” remarked Axia sardonically, but her voice was good to hear; the whole divan that held the man was alive; alive like heat waves over asphalt, like wriggling worms.
Axia’s arm	Come back!” Axia’s arm fell on his. “Amory, dear, you aren’t going, Amory!”	Axia’s arm fell on his.
Amory, dear, you aren’t going, Amory!”	Axia’s arm fell on his. “Amory, dear, you aren’t going, Amory!” He was halfway to the door.	“Amory, dear, you aren’t going, Amory!”
halfway to the door.	“Amory, dear, you aren’t going, Amory!” He was halfway to the door. “Come on, Amory, stick ’th us!”	He was halfway to the door.
Amory, stick ’th us!”	He was halfway to the door. “Come on, Amory, stick ’th us!” “Sick, are you?”	“Come on, Amory, stick ’th us!”
a little brandy	“Take some water.” “Take a little brandy.” The elevator was close, and the colored boy was half asleep, paled to a livid bronze.	“Take a little brandy.”
paled to a livid bronze.	“Take a little brandy.” The elevator was close, and the colored boy was half asleep, paled to a livid bronze. Axia’s beseeching voice floated down the shaft.	The elevator was close, and the colored boy was half asleep, paled to a livid bronze.
a livid bronze	“Take a little brandy.” The elevator was close, and the colored boy was half asleep, paled to a livid bronze. Axia’s beseeching voice floated down the shaft.	The elevator was close, and the colored boy was half asleep, paled to a livid bronze.
Axia’s beseeching voice	The elevator was close, and the colored boy was half asleep, paled to a livid bronze. Axia’s beseeching voice floated down the shaft. Those feet.	Axia’s beseeching voice floated down the shaft.
the paved hall	those feet. As they settled to the lower floor the feet came into view in the sickly electric light of the paved hall.	As they settled to the lower floor the feet came into view in the sickly electric light of the paved hall.
the sickly electric light	those feet. As they settled to the lower floor the feet came into view in the sickly electric light of the paved hall.	As they settled to the lower floor the feet came into view in the sickly electric light of the paved hall.
light of the paved hall.	those feet. As they settled to the lower floor the feet came into view in the sickly electric light of the paved hall.	As they settled to the lower floor the feet came into view in the sickly electric light of the paved hall.
came the moon, and Amory turned his back on it and walked.	Down the long street came the moon, and Amory turned his back on it and walked. Ten, fifteen steps away sounded the footsteps.	 Down the long street came the moon, and Amory turned his back on it and walked.
insistence in their fall.	Ten, fifteen steps away sounded the footsteps. They were like a slow dripping, with just the slightest insistence in their fall. Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind.	They were like a slow dripping, with just the slightest insistence in their fall.
a slow dripping	Ten, fifteen steps away sounded the footsteps. They were like a slow dripping, with just the slightest insistence in their fall. Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind.	They were like a slow dripping, with just the slightest insistence in their fall.
just the slightest insistence	Ten, fifteen steps away sounded the footsteps. They were like a slow dripping, with just the slightest insistence in their fall. Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind.	They were like a slow dripping, with just the slightest insistence in their fall.
ahead of him, and soft shoes was presumably that far behind.	They were like a slow dripping, with just the slightest insistence in their fall. Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind. With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings.	Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind.
Amory’s shadow	They were like a slow dripping, with just the slightest insistence in their fall. Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind. With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings.	Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind.
clumsy stumblings	Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind. With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings. After that he stopped suddenly; he must keep hold, he thought.	With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings.
haggard seconds	Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind. With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings. After that he stopped suddenly; he must keep hold, he thought.	With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings.
bursting into a slow run with clumsy stumblings.	Amory’s shadow lay, perhaps, ten feet ahead of him, and soft shoes was presumably that far behind. With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings. After that he stopped suddenly; he must keep hold, he thought.	With the instinct of a child Amory edged in under the blue darkness of the white buildings, cleaving the moonlight for haggard seconds, once bursting into a slow run with clumsy stumblings.
people left in the world or did they all live in white apartment-houses now?	His lips were dry and he licked them. If he met anyone good—were there any good people left in the world or did they all live in white apartment-houses now? Was everyone followed in the moonlight?	If he met anyone good—were there any good people left in the world or did they all live in white apartment-houses now?
followed in the moonlight?	If he met anyone good—were there any good people left in the world or did they all live in white apartment-houses now? Was everyone followed in the moonlight? But if he met someone good who’d know what he meant and hear this damned scuffle.	Was everyone followed in the moonlight?
met someone good who’d know what he meant and hear this damned scuffle.	Was everyone followed in the moonlight? But if he met someone good who’d know what he meant and hear this damned scuffle. then the scuffling grew suddenly nearer, and a black cloud settled over the moon.	But if he met someone good who’d know what he meant and hear this damned scuffle.
this damned scuffle	Was everyone followed in the moonlight? But if he met someone good who’d know what he meant and hear this damned scuffle. then the scuffling grew suddenly nearer, and a black cloud settled over the moon.	But if he met someone good who’d know what he meant and hear this damned scuffle.
the pale sheen	then the scuffling grew suddenly nearer, and a black cloud settled over the moon. When again the pale sheen skimmed the cornices, it was almost beside him, and Amory thought he heard a quiet breathing. Suddenly he realized that the footsteps were not behind, had never been behind, they were ahead and he was not eluding but following.	When again the pale sheen skimmed the cornices, it was almost beside him, and Amory thought he heard a quiet breathing.
was almost beside him, and Amory thought he heard a quiet breathing.	then the scuffling grew suddenly nearer, and a black cloud settled over the moon. When again the pale sheen skimmed the cornices, it was almost beside him, and Amory thought he heard a quiet breathing. Suddenly he realized that the footsteps were not behind, had never been behind, they were ahead and he was not eluding but following.	When again the pale sheen skimmed the cornices, it was almost beside him, and Amory thought he heard a quiet breathing.
began to run, blindly, his heart knocking heavily, his hands clinched.	following. He began to run, blindly, his heart knocking heavily, his hands clinched. Far ahead a black dot showed itself, resolved slowly into a human shape.	He began to run, blindly, his heart knocking heavily, his hands clinched.
old rottenness	Far ahead a black dot showed itself, resolved slowly into a human shape. But Amory was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness. He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches.	But Amory was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness.
was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness.	Far ahead a black dot showed itself, resolved slowly into a human shape. But Amory was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness. He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches.	But Amory was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness.
tiny glints	But Amory was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness. He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches. then suddenly sank panting into a corner by a fence, exhausted.	He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches.
blackness, where the moonlight was shut away except for tiny glints and patches.	But Amory was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness. He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches. then suddenly sank panting into a corner by a fence, exhausted.	He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches.
a long, sinuous blackness	But Amory was beyond that now; he turned off the street and darted into an alley, narrow and dark and smelling of old rottenness. He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches. then suddenly sank panting into a corner by a fence, exhausted.	He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches.
sank panting into a corner by a fence, exhausted.	He twisted down a long, sinuous blackness, where the moonlight was shut away except for tiny glints and patches. then suddenly sank panting into a corner by a fence, exhausted. The steps ahead stopped, and he could hear them shift slightly with a continuous motion, like waves around a dock.	then suddenly sank panting into a corner by a fence, exhausted.
motion, like waves around a dock.	then suddenly sank panting into a corner by a fence, exhausted. The steps ahead stopped, and he could hear them shift slightly with a continuous motion, like waves around a dock. He put his face in his hands and covered eyes and ears as well as he could.	The steps ahead stopped, and he could hear them shift slightly with a continuous motion, like waves around a dock.
occurred to him that he was delirious or drunk.	He put his face in his hands and covered eyes and ears as well as he could. During all this time it never occurred to him that he was delirious or drunk. He had a sense of reality such as material things could never give him.	During all this time it never occurred to him that he was delirious or drunk.
reality such as material things could never give him.	During all this time it never occurred to him that he was delirious or drunk. He had a sense of reality such as material things could never give him. His intellectual content seemed to submit passively to it, and it fitted like a glove everything that had ever preceded it in his life.	He had a sense of reality such as material things could never give him.
everything that had ever preceded it in his life.	He had a sense of reality such as material things could never give him. His intellectual content seemed to submit passively to it, and it fitted like a glove everything that had ever preceded it in his life. It did not muddle him.	His intellectual content seemed to submit passively to it, and it fitted like a glove everything that had ever preceded it in his life.
was like a problem whose answer he knew on paper, yet whose solution he was unable to grasp.	It did not muddle him. It was like a problem whose answer he knew on paper, yet whose solution he was unable to grasp. He was far beyond horror.	It was like a problem whose answer he knew on paper, yet whose solution he was unable to grasp.
surface of that, now moved in a region where the feet and the fear of white walls were real, living things, things he must accept.	He was far beyond horror. He had sunk through the thin surface of that, now moved in a region where the feet and the fear of white walls were real, living things, things he must accept. Only far inside his soul a little fire leaped and cried that something was pulling him down, trying to get him inside a door and slam it behind him.	He had sunk through the thin surface of that, now moved in a region where the feet and the fear of white walls were real, living things, things he must accept.
pulling him down, trying to get him inside a door and slam it behind him.	He had sunk through the thin surface of that, now moved in a region where the feet and the fear of white walls were real, living things, things he must accept. Only far inside his soul a little fire leaped and cried that something was pulling him down, trying to get him inside a door and slam it behind him. After that door was slammed there would be only footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls.	Only far inside his soul a little fire leaped and cried that something was pulling him down, trying to get him inside a door and slam it behind him.
only footfalls	Only far inside his soul a little fire leaped and cried that something was pulling him down, trying to get him inside a door and slam it behind him. After that door was slammed there would be only footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls. During the five or ten minutes he waited in the shadow of the fence, there was somehow this fire.	After that door was slammed there would be only footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls.
footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls.	Only far inside his soul a little fire leaped and cried that something was pulling him down, trying to get him inside a door and slam it behind him. After that door was slammed there would be only footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls. During the five or ten minutes he waited in the shadow of the fence, there was somehow this fire.	After that door was slammed there would be only footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls.
shadow of the fence, there was somehow this fire.	After that door was slammed there would be only footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls. During the five or ten minutes he waited in the shadow of the fence, there was somehow this fire. that was as near as he could name it afterward.	During the five or ten minutes he waited in the shadow of the fence, there was somehow this fire.
the five or ten minutes	After that door was slammed there would be only footfalls and white buildings in the moonlight, and perhaps he would be one of the footfalls. During the five or ten minutes he waited in the shadow of the fence, there was somehow this fire. that was as near as he could name it afterward.	During the five or ten minutes he waited in the shadow of the fence, there was somehow this fire.
name it afterward.	During the five or ten minutes he waited in the shadow of the fence, there was somehow this fire. that was as near as he could name it afterward. He remembered calling aloud: “I want someone stupid.	that was as near as he could name it afterward.
intermingled through previous association.	shuffled. He supposed “stupid” and “good” had become somehow intermingled through previous association. When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night.	He supposed “stupid” and “good” had become somehow intermingled through previous association.
just the pile	He supposed “stupid” and “good” had become somehow intermingled through previous association. When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night. Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird.	When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night.
inherent tradition	He supposed “stupid” and “good” had become somehow intermingled through previous association. When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night. Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird.	When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night.
pile on pile of inherent tradition or some wild prayer from way over the night.	He supposed “stupid” and “good” had become somehow intermingled through previous association. When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night. Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird.	When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night.
knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird.	When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night. Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird. Minutes later he sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley.	Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird.
a low gong	When he called thus it was not an act of will at all—will had turned him away from the moving figure in the street; it was almost instinct that called, just the pile on pile of inherent tradition or some wild prayer from way over the night. Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird. Minutes later he sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley.	Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird.
sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley.	Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird. Minutes later he sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley. It was cold, and he started on a steady run for the light that showed the street at the other end.	Minutes later he sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley.
the graying alley	Then something clanged like a low gong struck at a distance, and before his eyes a face flashed over the two feet, a face pale and distorted with a sort of infinite evil that twisted it like flame in the wind; but he knew, for the half instant that the gong tanged and hummed, that it was the face of Dick Humbird. Minutes later he sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley. It was cold, and he started on a steady run for the light that showed the street at the other end.	Minutes later he sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley.
light that showed the street at the other end.	Minutes later he sprang to his feet, realizing dimly that there was no more sound, and that he was alone in the graying alley. It was cold, and he started on a steady run for the light that showed the street at the other end.	It was cold, and he started on a steady run for the light that showed the street at the other end.
was late morning when he woke and found the telephone beside his bed in the hotel tolling frantically, and remembered that he had left word to be called at eleven.	It was late morning when he woke and found the telephone beside his bed in the hotel tolling frantically, and remembered that he had left word to be called at eleven. Sloane was snoring heavily, his clothes in a pile by his bed.	 It was late morning when he woke and found the telephone beside his bed in the hotel tolling frantically, and remembered that he had left word to be called at eleven.
clothes in a pile by his bed.	It was late morning when he woke and found the telephone beside his bed in the hotel tolling frantically, and remembered that he had left word to be called at eleven. Sloane was snoring heavily, his clothes in a pile by his bed. They dressed and ate breakfast in silence, and then sauntered out to get some air.	Sloane was snoring heavily, his clothes in a pile by his bed.
ate breakfast in silence, and then sauntered out to get some air.	Sloane was snoring heavily, his clothes in a pile by his bed. They dressed and ate breakfast in silence, and then sauntered out to get some air. Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth.	They dressed and ate breakfast in silence, and then sauntered out to get some air.
the bare shreds	They dressed and ate breakfast in silence, and then sauntered out to get some air. Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth. If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine.	Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth.
imagery that stacked his memory the bare shreds of truth.	They dressed and ate breakfast in silence, and then sauntered out to get some air. Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth. If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine.	Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth.
Amory’s mind	They dressed and ate breakfast in silence, and then sauntered out to get some air. Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth. If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine.	Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth.
the chaotic imagery	They dressed and ate breakfast in silence, and then sauntered out to get some air. Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth. If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine.	Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth.
gets sometimes in May, when the air on Fifth Avenue is a soft, light wine.	Amory’s mind was working slowly, trying to assimilate what had happened and separate from the chaotic imagery that stacked his memory the bare shreds of truth. If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine. How much or how little Sloane remembered Amory did not care to know; he apparently had none of the nervous tension that was gripping Amory and forcing his mind back and forth like a shrieking saw.	If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine.
forcing his mind back and forth like a shrieking saw.	If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine. How much or how little Sloane remembered Amory did not care to know; he apparently had none of the nervous tension that was gripping Amory and forcing his mind back and forth like a shrieking saw. Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory.	How much or how little Sloane remembered Amory did not care to know; he apparently had none of the nervous tension that was gripping Amory and forcing his mind back and forth like a shrieking saw.
a shrieking saw	If the morning had been cold and gray he could have grasped the reins of the past in an instant, but it was one of those days that New York gets sometimes in May, when the air on Fifth Avenue is a soft, light wine. How much or how little Sloane remembered Amory did not care to know; he apparently had none of the nervous tension that was gripping Amory and forcing his mind back and forth like a shrieking saw. Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory.	How much or how little Sloane remembered Amory did not care to know; he apparently had none of the nervous tension that was gripping Amory and forcing his mind back and forth like a shrieking saw.
sickness rushed over Amory.	How much or how little Sloane remembered Amory did not care to know; he apparently had none of the nervous tension that was gripping Amory and forcing his mind back and forth like a shrieking saw. Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory. “For God’s sake, let’s go back!	Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory.
a sudden sickness	How much or how little Sloane remembered Amory did not care to know; he apparently had none of the nervous tension that was gripping Amory and forcing his mind back and forth like a shrieking saw. Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory. “For God’s sake, let’s go back!	Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory.
God’s sake	Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory. “For God’s sake, let’s go back! Let’s get off of this—this place!”	“For God’s sake, let’s go back!
let’s go back!	Then Broadway broke upon them, and with the babel of noise and the painted faces a sudden sickness rushed over Amory. “For God’s sake, let’s go back! Let’s get off of this—this place!”	“For God’s sake, let’s go back!
looked at him in amazement.	Let’s get off of this—this place!” Sloane looked at him in amazement. “What do you mean?”	Sloane looked at him in amazement.
act like a maniac last night, you’re never coming on Broadway again?”	let’s get back to the Avenue!” “Do you mean to say,” said Sloane stolidly, “that ’cause you had some sort of indigestion that made you act like a maniac last night, you’re never coming on Broadway again?” Simultaneously Amory classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream.	“Do you mean to say,” said Sloane stolidly, “that ’cause you had some sort of indigestion that made you act like a maniac last night, you’re never coming on Broadway again?”
the turbid stream	“Do you mean to say,” said Sloane stolidly, “that ’cause you had some sort of indigestion that made you act like a maniac last night, you’re never coming on Broadway again?” Simultaneously Amory classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream. “Man!”	Simultaneously Amory classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream.
the debonair humor	“Do you mean to say,” said Sloane stolidly, “that ’cause you had some sort of indigestion that made you act like a maniac last night, you’re never coming on Broadway again?” Simultaneously Amory classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream. “Man!”	Simultaneously Amory classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream.
classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream.	“Do you mean to say,” said Sloane stolidly, “that ’cause you had some sort of indigestion that made you act like a maniac last night, you’re never coming on Broadway again?” Simultaneously Amory classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream. “Man!”	Simultaneously Amory classed him with the crowd, and he seemed no longer Sloane of the debonair humor and the happy personality, but only one of the evil faces that whirled along the turbid stream.
see it, you’re filthy, too!”	“Man!” he shouted so loud that the people on the corner turned and followed them with their eyes, “it’s filthy, and if you can’t see it, you’re filthy, too!” “I can’t help it,” said Sloane doggedly.	he shouted so loud that the people on the corner turned and followed them with their eyes, “it’s filthy, and if you can’t see it, you’re filthy, too!”
’s the matter with you?	“I can’t help it,” said Sloane doggedly. “What’s the matter with you? Old remorse getting you?	“What’s the matter with you?
Old remorse	“What’s the matter with you? Old remorse getting you? You’d be in a fine state if you’d gone through with our little party.”	Old remorse getting you?
remorse getting you?	“What’s the matter with you? Old remorse getting you? You’d be in a fine state if you’d gone through with our little party.”	Old remorse getting you?
be in a fine state if you’d gone through with our little party.”	Old remorse getting you? You’d be in a fine state if you’d gone through with our little party.” “I’m going, Fred,” said Amory slowly.	You’d be in a fine state if you’d gone through with our little party.”
keel over where he stood.	“I’m going, Fred,” said Amory slowly. His knees were shaking under him, and he knew that if he stayed another minute on this street he would keel over where he stood. “I’ll be at the Vanderbilt for lunch.”	His knees were shaking under him, and he knew that if he stayed another minute on this street he would keel over where he stood.
be at the Vanderbilt for lunch.”	His knees were shaking under him, and he knew that if he stayed another minute on this street he would keel over where he stood. “I’ll be at the Vanderbilt for lunch.” And he strode rapidly off and turned over to Fifth Avenue.	“I’ll be at the Vanderbilt for lunch.”
Axia’s sidelong, suggestive smile	And he strode rapidly off and turned over to Fifth Avenue. Back at the hotel he felt better, but as he walked into the barbershop, intending to get a head massage, the smell of the powders and tonics brought back Axia’s sidelong, suggestive smile, and he left hurriedly. In the doorway of his room a sudden blackness flowed around him like a divided river.	Back at the hotel he felt better, but as he walked into the barbershop, intending to get a head massage, the smell of the powders and tonics brought back Axia’s sidelong, suggestive smile, and he left hurriedly.
