ORIGINAL	TRANSLATED

I am tame, sir: pronounce.	I'm ready, sir. Speak.

The queen, your mother, in most great affliction of spirit, hath sent me to you.	Your mother, the Queen, is very upset and has sent me to you.

You are welcome.	Welcome.

Nay, good my lord, this courtesy is not of the right breed. If it shall please you to make me a wholesome answer, I will do your mother’s commandment: if not, your pardon and my return shall be the end of my business.	No, my lord, this kindness isn't genuine. If you'll give me a straight answer, I'll do what your mother asked. If not, I'll say goodbye and leave.

Sir, I cannot.	Sir, I am unable to.

What, my lord?	What is it, sir?

Make you a wholesome answer; my wit’s diseased: but, sir, such answer as I can make, you shall command; or, rather, as you say, my mother: therefore no more, but to the matter: my mother, you say—	I'll give you a sensible answer if I could, but I'm not thinking clearly. However, sir, you can have whatever answer I'm capable of giving, or rather, whatever my mother wants me to say. So, let's get to the point: My mother, you were saying—

Then thus she says; your behavior hath struck her into amazement and admiration.	So, she says your actions have shocked and impressed her.

O wonderful son, that can so astonish a mother! But is there no sequel at the heels of this mother’s admiration? Impart.	Oh, amazing son, who can shock his mother so much! But is there more to this that I should know? Tell me.

She desires to speak with you in her closet, ere you go to bed.	She wants to talk to you in her private room before you go to sleep.

We shall obey, were she ten times our mother. Have you any further trade with us?	We will obey, even if she were our mother ten times over. Do you have any more business with us?

My lord, you once did love me.	My lord, you used to love me.

So I do still, by these pickers and stealers.	I swear I do, by these hands.

Good my lord, what is your cause of distemper? you do, surely, bar the door upon your own liberty, if you deny your griefs to your friend.	My lord, what's upsetting you? You're only hurting yourself if you don't tell your friend what's bothering you.

Sir, I lack advancement.	Sir, I have no promotion.

How can that be, when you have the voice of the king himself for your succession in Denmark?	How can that be true, when you have the king's own approval to be the next ruler of Denmark?

Ay, but sir, “While the grass grows,”—the proverb is something musty.	Yes, but sir, "While the grass grows"—that saying is a bit stale.

O, the recorders! let me see one. (To withdraw with you:)—why do you go about to recover the wind of me, as if you would drive me into a toil?	Oh, the recorders! Let me see one. (I want to talk to you privately.) Why are you trying to get behind me, like you're trying to trap me?

O, my lord, if my duty be too bold, my love is too unmannerly.	Oh, my lord, if my obligation seems too forward, my love is even more impolite.

I do not well understand that. Will you play upon this pipe?	I don't understand that. Will you play this flute?

My lord, I cannot.	My lord, I can't.

I pray you.	Please.

Believe me, I cannot.	Trust me, I can't.

I do beseech you.	Please.

I know no touch of it, my lord.	I don't know anything about it, my lord.

’Tis as easy as lying: govern these ventages with your fingers and thumb, give it breath with your mouth, and it will discourse most eloquent music. Look you, these are the stops.	It's as easy as lying. Control these holes with your fingers and thumb, blow into it, and it will play the most beautiful music. See, these are the finger holes.

But these cannot I command to any utterance of harmony; I have not the skill.	But I can't force them to make beautiful music; I don't have the talent.

Why, look you now, how unworthy a thing you make of me! You would play upon me; you would seem to know my stops; you would pluck out the heart of my mystery; you would sound me from my lowest note to the top of my compass: and there is much music, excellent voice, in this little organ; yet cannot you make it speak. ’Sblood, do you think I am easier to be played on than a pipe? Call me what instrument you will, though you can fret me, yet you cannot play upon me.	See how you underestimate me! You're trying to manipulate me, pretending you know how I work. You want to get to the bottom of my secrets, explore my entire range of emotions. There's a lot to me, a great depth, but you can't get me to reveal it. God, do you think I'm easier to control than a flute? Call me whatever instrument you want, you can annoy me, but you can't control me.

My lord, the queen would speak with you, and presently.	My lord, the Queen wants to talk to you, right now.

Do you see yonder cloud that’s almost in shape of a camel?	Do you see that cloud over there that looks almost like a camel?

By the mass, and ’tis like a camel, indeed.	By the Mass, and it truly looks like a camel.

Methinks it is like a weasel.	I think it looks like a weasel.

It is backed like a weasel.	He's got a crooked back.

Or like a whale?	Or like a whale?

Very like a whale.	Looks just like a whale.

Then I will come to my mother by and by. (They fool me to the top of my bent.) I will come by and by.	I'll go to my mother soon. (They're manipulating me as much as they possibly can.) I'll go soon.

I will say so.	I'll say it.

By and by is easily said. (Exit Polonius.) Leave me, friends. (Exeunt all but Hamlet.)	"Coming right up" is easy to say. (Polonius exits.) Leave me alone, friends. (Everyone exits except Hamlet.)

